Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10354180,2,"Thursday, November 10, 2011 17:04:36 UTC",61.5821,-151.5080,1.7,70.50,23,"Southern Alaska"
ak,10352088,3,"Thursday, November 10, 2011 16:56:11 UTC",60.6984,-150.3968,1.3,43.40,10,"Kenai Peninsula, Alaska"
nc,71679296,2,"Thursday, November 10, 2011 16:51:43 UTC",40.9525,-121.8488,1.4,5.00,11,"Northern California"
nc,71679191,3,"Thursday, November 10, 2011 16:18:20 UTC",38.8138,-122.7952,1.1,3.20,40,"Northern California"
nc,71679176,3,"Thursday, November 10, 2011 16:03:32 UTC",38.7925,-122.8017,1.2,3.50,47,"Northern California"
ak,10352073,2,"Thursday, November 10, 2011 15:53:42 UTC",61.1732,-146.9925,1.8,0.00, 9,"Southern Alaska"
uu,11101552,2,"Thursday, November 10, 2011 15:52:23 UTC",39.4227,-111.2262,1.3,5.70, 7,"Utah"
nc,71679171,3,"Thursday, November 10, 2011 15:39:34 UTC",38.7893,-122.7698,2.0,3.90,66,"Northern California"
ci,15074404,2,"Thursday, November 10, 2011 15:39:25 UTC",33.9637,-117.2325,1.3,13.00,50,"Greater Los Angeles area, California"
ci,15074396,2,"Thursday, November 10, 2011 15:28:36 UTC",34.0392,-117.2270,1.1,17.60,30,"Greater Los Angeles area, California"
hv,60231578,2,"Thursday, November 10, 2011 15:16:26 UTC",19.3278,-155.1330,2.2,8.20,25,"Island of Hawaii, Hawaii"
hv,60282626,2,"Thursday, November 10, 2011 15:16:19 UTC",19.3267,-155.1283,2.5,8.10,37,"Island of Hawaii, Hawaii"
ci,15074388,2,"Thursday, November 10, 2011 14:54:16 UTC",32.9130,-116.2202,1.2,7.20,38,"Southern California"
ak,10352060,2,"Thursday, November 10, 2011 14:46:49 UTC",60.5542,-148.5668,1.6,12.80,24,"Kenai Peninsula, Alaska"
hv,60282616,1,"Thursday, November 10, 2011 14:36:43 UTC",19.3655,-155.4975,1.9,10.30,41,"Island of Hawaii, Hawaii"
nc,71679161,3,"Thursday, November 10, 2011 14:16:12 UTC",37.4660,-118.8332,1.7,4.30,37,"Central California"
ak,10354174,2,"Thursday, November 10, 2011 13:55:43 UTC",51.4924,-176.6000,2.7,28.70, 7,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10352051,2,"Thursday, November 10, 2011 13:49:04 UTC",60.9776,-148.4573,1.3,34.90,15,"Kenai Peninsula, Alaska"
