"ID","PMNNO","ACCNO","GENERIC NAME","FL"
171,"P000588",166575,"Ketoxime blocked PPDI/polyether prepolymers (PROVISIONAL)","P; XU"
172,"P000591",275413,"Organometallic compound (PROVISIONAL)","P"
173,"P000605",251855,"Acrylic graft polymer (PROVISIONAL)","P; XU"
174,"P000607",249208,"Phenolic copolymer (PROVISIONAL)","P; XU"
175,"P000609",164273,"Polyglycolether-polycarboxylate (PROVISIONAL)","P; XU"
176,"P000615",269728,"Alkylphenol polyether amine (PROVISIONAL)","P; XU"
177,"P000618",230967,"Substituted hydroxyalkane acetate","P; S"
178,"P000621",241168,"Long chain fatty acids, polymer with polyoxyalkylene and a cyclic diacid (PROVISIONAL)","P; XU"
179,"P000621",182322,"Long chain fatty acids, polymer with polyoxyalkylene and a cyclic diacid (PROVISIONAL)","P; XU"
180,"P000626",176091,"Acrylate of polymer based on isophorone diisocyanate","P; S"
181,"P000627",246878,"Phenolic copolymer (PROVISIONAL)","P; XU"
182,"P000628",164524,"Alkyl methacrylate copolymer (PROVISIONAL)","P; XU"
183,"P000631",161809,"Alkyl arylaminophenylcarboxylate (PROVISIONAL)","P"
184,"P000636",238085,"Alkylated nitroso-phenylenediamine","P; S"
185,"P000638",130360,"Alkali metal salt of halogenated organoborate","P; S"
186,"P000647",263220,"Fatty acids, tall oil, polymers with diamine, 5(or 6)-carboxy-4-hexyl-2-cyclohexene-1-octanoic acid, fumaric acid, polyol, maleic anhydride, pentaerythritol and rosin (PROVISIONAL)","P; XU"
187,"P000655",266354,"Aromatic urethane (PROVISIONAL)","P; XU"
188,"P000656",243653,"Alkenyl ester (PROVISIONAL)","P"
189,"P000657",171585,"Styrene acrylic emulsion copolymer (PROVISIONAL)","P; XU"
190,"P000658",156139,"Styrene acrylic emulsion copolymer (PROVISIONAL)","P; XU"
191,"P000659",143216,"Styrene acrylic emulsion copolymer (PROVISIONAL)","P; XU"
192,"P000660",164502,"Styrene acrylic emulsion copolymer (PROVISIONAL)","P; XU"
193,"P000680",172168,"Fatty acids, reaction products (PROVISIONAL)","P"
194,"P000681",277408,"Isocyanate-functional polyester polyurethane (PROVISIONAL)","P; XU"
195,"P000683",160033,"2-Propenoic acid, polymer with butyl 2-propenoate, N-(1,1-dimethyl-3-oxobutyl)-2-propenamide, 2-methoxy-2-substituted-ethyl 2-propenoate and methyl 2-methyl-2-propenoate (PROVISIONAL)","P; XU"
196,"P000684",230570,"Butadiene, alkyl acrylate, styrene co-polymer (PROVISIONAL)","P; XU"
